credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
782,202209,25,1,90,44,545000,90,5.25,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
741,202209,30,1,95,49,570000,95,4.99,SF,3,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
801,202209,0,1,54,33,175000,54,4.875,CP,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
751,202209,0,1,63,44,125000,63,5.375,CP,1,"CROSSCOUNTRY MORTGAGE, LLC","CROSSCOUNTRY MORTGAGE, LLC"
798,202209,30,1,91,47,335000,91,4.99,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
733,202209,0,1,80,45,352000,80,5.375,SF,2,Other sellers,Other servicers
769,202208,12,1,85,49,446000,85,5.0,SF,1,Other sellers,Other servicers
778,202209,0,1,80,39,520000,80,5.375,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
754,202209,0,1,74,45,505000,74,4.75,SF,2,"GUARANTEED RATE, INC.","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
729,202209,25,1,90,43,104000,90,5.875,CP,1,"CROSSCOUNTRY MORTGAGE, LLC","CROSSCOUNTRY MORTGAGE, LLC"
780,202209,25,1,90,45,770000,90,5.0,SF,1,Other sellers,Other servicers
808,202209,0,1,49,50,410000,49,4.875,SF,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC"
769,202209,0,1,65,17,473000,65,4.25,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
750,202209,0,1,80,44,560000,80,4.875,SF,2,"CALIBER HOME LOANS, INC.","CALIBER HOME LOANS, INC."
793,202209,0,1,80,48,496000,80,4.5,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
804,202209,0,1,80,50,507000,80,4.875,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
765,202209,0,1,80,28,352000,80,5.5,PU,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
