region,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period,timestamp,interest_rate
"Suffolk County, NY",All Residential,-1,285000.0,349900.0,179.5207681612791,214.1203703703704,657.0,636.0,1949.0,9468.0,14.4,138.0,0.9390058143730364,0.106544901065449,0.1887410223912125,0.1320754716981132,2012-04-01,1333238400.0,3.98
"Suffolk County, NY",Condo/Co-op,3,279000.0,449000.0,248.11573747353563,262.3673925181463,119.0,119.0,138.0,450.0,3.8,49.0,0.9763784853733788,0.2016806722689075,0.1222222222222222,0.1428571428571428,2020-03-01,1583020800.0,3.29
"Suffolk County, NY",Multi-Family (2-4 Unit),4,595000.0,569945.0,297.40994343554627,335.9794942238179,21.0,12.0,28.0,61.0,2.9,35.0,1.0368828670847297,0.6666666666666666,0.180327868852459,0.4166666666666666,2022-05-01,1651363200.0,5.27
"Suffolk County, NY",Multi-Family (2-4 Unit),4,394000.0,399000.0,190.55967591912665,244.91094147582697,23.0,11.0,18.0,96.0,4.2,56.0,0.9854671301642124,0.3043478260869565,0.1354166666666666,0.0,2018-10-01,1538352000.0,4.71
"Nassau County, NY",All Residential,-1,390000.0,449000.0,241.4651837524178,272.14972447892023,619.0,695.0,1744.0,7636.0,12.3,144.0,0.9341291448546788,0.0533117932148626,0.1892352016762703,0.1107913669064748,2012-04-01,1333238400.0,3.98
"Suffolk County, NY",Multi-Family (2-4 Unit),4,376225.0,329990.0,186.60071942446044,209.36834634492547,22.0,9.0,32.0,141.0,6.4,126.0,0.931628351840018,0.0454545454545454,0.226950354609929,0.2222222222222222,2015-10-01,1443657600.0,3.85
"Suffolk County, NY",Multi-Family (2-4 Unit),4,387500.0,349000.0,192.91117673784643,216.11111111111111,11.0,7.0,38.0,168.0,15.3,59.0,0.9475581551367002,0.0,0.2321428571428571,0.1428571428571428,2014-07-01,1404172800.0,4.12
"Suffolk County, NY",All Residential,-1,343000.0,359000.0,196.3887775551102,220.664890050952,1104.0,790.0,1905.0,8823.0,8.0,97.0,0.9530262089681169,0.1059782608695652,0.1796441119800521,0.1139240506329113,2013-06-01,1370044800.0,3.91
"Suffolk County, NY",Multi-Family (2-4 Unit),4,350000.0,349000.0,155.70352530046517,233.5396736072032,21.0,16.0,26.0,134.0,6.4,69.0,0.9398995724287028,0.0476190476190476,0.1194029850746268,0.0,2015-12-01,1448928000.0,3.93
"Suffolk County, NY",Multi-Family (2-4 Unit),4,395000.0,385000.0,202.5,242.30576923076924,16.0,13.0,11.0,79.0,4.9,42.0,0.938372303715938,0.125,0.0886075949367088,0.1538461538461538,2018-11-01,1541030400.0,4.83
"Suffolk County, NY",All Residential,-1,379990.0,385000.0,233.32916666666665,242.30576923076924,1448.0,1046.0,1376.0,5911.0,4.1,51.0,0.9812630789890988,0.2589779005524862,0.1818643207579089,0.1434034416826003,2018-11-01,1541030400.0,4.83
"Suffolk County, NY",Multi-Family (2-4 Unit),4,310000.0,369000.0,192.11313764605305,231.78571428571428,22.0,15.0,20.0,91.0,4.1,54.0,0.9467152397634404,0.2272727272727272,0.1428571428571428,0.1333333333333333,2017-11-01,1509494400.0,3.94
"Suffolk County, NY",Townhouse,13,350000.0,339000.0,225.90909090909088,214.54166666666663,5.0,3.0,10.0,50.0,10.0,124.0,0.9577592614054928,0.0,0.14,0.0,2013-08-01,1375315200.0,4.39
"Suffolk County, NY",All Residential,-1,335000.0,349900.0,204.92429184854808,215.45171411790164,1188.0,900.0,2135.0,9286.0,7.8,77.0,0.958669928784516,0.1304713804713804,0.2281929786775791,0.1244444444444444,2014-06-01,1401580800.0,4.14
"Suffolk County, NY",Multi-Family (2-4 Unit),4,621888.0,549000.0,292.64705882352933,325.0,19.0,18.0,26.0,73.0,3.8,27.0,1.0238653279959948,0.7368421052631579,0.1780821917808219,0.1111111111111111,2022-07-01,1656633600.0,5.3
"Suffolk County, NY",Multi-Family (2-4 Unit),4,550000.0,529000.0,257.89473684210526,308.8662790697674,25.0,21.0,34.0,83.0,3.3,28.0,0.996196679068908,0.56,0.0963855421686747,0.1428571428571428,2021-06-01,1622505600.0,2.99
